00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:44.315 [TUNER] 164,1000,1268.22,1312.00,3.02,0.00,1339.41,1312.00,2.55,0.00
00:48:44.316 [TUNER] 165,1000,1268.22,1320.00,3.02,0.00,1339.41,1320.00,2.55,0.00
00:48:44.360 [TUNER] 166,1000,1383.96,1328.00,1.75,0.00,1439.19,1328.00,1.34,0.00
00:48:44.361 [TUNER] 167,1000,1383.96,1336.00,1.75,0.00,1439.19,1336.00,1.34,0.00
00:48:44.399 [TUNER] 168,1000,1450.78,1344.00,1.04,0.00,1503.56,1344.00,0.56,0.00
00:48:44.401 [TUNER] 169,1000,1450.78,1352.00,1.04,0.00,1503.56,1352.00,0.56,0.00
00:48:44.401 [TUNER] 170,1000,1473.31,1360.00,0.88,0.00,1568.79,1360.00,-0.28,0.00
00:48:44.442 [TUNER] 171,1000,1473.31,1368.00,0.88,0.00,1568.79,1368.00,-0.28,0.00
00:48:44.442 [TUNER] 172,1000,1496.49,1376.00,0.70,0.00,1526.49,1376.00,0.37,0.00
00:48:44.484 [TUNER] 173,1000,1496.49,1384.00,0.70,0.00,1526.49,1384.00,0.37,0.00
00:48:44.485 [TUNER] 174,1002,1499.27,1392.00,0.78,0.00,1485.51,1392.00,1.05,0.00
00:48:44.529 [TUNER] 175,998,1499.27,1400.00,0.78,0.00,1485.51,1400.00,1.05,0.00
00:48:44.529 [TUNER] 176,1000,1460.82,1408.00,1.42,0.00,1436.05,1408.00,1.92,0.00
00:48:44.569 [TUNER] 177,1000,1460.82,1416.00,1.42,0.00,1436.05,1416.00,1.92,0.00
00:48:44.570 [TUNER] 178,1000,1393.72,1424.00,2.49,0.00,1392.81,1424.00,2.76,0.00
00:48:44.614 [TUNER] 179,1000,1393.72,1432.00,2.49,0.00,1392.81,1432.00,2.76,0.00
00:48:44.614 [TUNER] 180,1000,1334.89,1440.00,3.53,0.00,1351.34,1440.00,3.63,0.00
00:48:44.654 [TUNER] 181,1000,1334.89,1448.00,3.53,0.00,1351.34,1448.00,3.63,0.00
00:48:44.654 [TUNER] 182,1000,1292.98,1456.00,4.40,0.00,1354.24,1456.00,3.91,0.00
00:48:44.698 [TUNER] 183,1000,1292.98,1464.00,4.40,0.00,1354.24,1464.00,3.91,0.00
00:48:44.700 [TUNER] 184,1000,1280.06,1472.00,4.95,0.00,1365.15,1472.00,4.10,0.00
00:48:44.741 [TUNER] 185,1000,1280.06,1480.00,4.95,0.00,1365.15,1480.00,4.10,0.00
00:48:44.741 [TUNER] 186,1000,1331.58,1488.00,4.66,0.00,1348.11,1488.00,4.69,0.00
00:48:44.741 [TUNER] 187,1000,1331.58,1496.00,4.66,0.00,1348.11,1496.00,4.69,0.00
00:48:44.783 [TUNER] 188,1000,1379.67,1504.00,4.40,0.00,1403.20,1504.00,4.28,0.00
00:48:44.783 [TUNER] 189,1000,1379.67,1512.00,4.40,0.00,1403.20,1512.00,4.28,0.00
00:48:44.824 [TUNER] 190,1000,1531.53,1520.00,2.72,0.00,1509.13,1520.00,3.10,0.00
00:48:44.825 [TUNER] 191,1000,1531.53,1528.00,2.72,0.00,1509.13,1528.00,3.10,0.00
00:48:44.868 [TUNER] 192,1000,1618.66,1536.00,1.79,0.00,1623.07,1536.00,1.73,0.00
00:48:44.868 [TUNER] 193,1000,1618.66,1544.00,1.79,0.00,1623.07,1544.00,1.73,0.00
00:48:44.910 [TUNER] 194,1000,1686.65,1552.00,1.04,0.00,1741.72,1552.00,0.19,0.00
00:48:44.913 [TUNER] 195,1000,1686.65,1560.00,1.04,0.00,1741.72,1560.00,0.19,0.00
00:48:44.951 [TUNER] 196,1000,1735.88,1568.00,0.50,0.00,1769.63,1568.00,-0.15,0.00
00:48:44.951 [TUNER] 197,1000,1735.88,1576.00,0.50,0.00,1769.63,1576.00,-0.15,0.00
00:48:44.996 [TUNER] 198,1000,1744.34,1584.00,0.46,0.00,1791.96,1584.00,-0.42,0.00
00:48:44.998 [TUNER] 199,1000,1744.34,1592.00,0.46,0.00,1791.96,1592.00,-0.42,0.00
00:48:45.040 [TUNER] 200,1000,1641.16,1600.00,1.91,0.00,1749.69,1600.00,0.24,0.00
00:48:45.041 [TUNER] 201,1000,1641.16,1608.00,1.91,0.00,1749.69,1608.00,0.24,0.00
00:48:45.080 [TUNER] 202,1000,1525.96,1616.00,3.63,0.00,1667.77,1616.00,1.51,0.00
00:48:45.081 [TUNER] 203,1000,1525.96,1624.00,3.63,0.00,1667.77,1624.00,1.51,0.00
00:48:45.122 [TUNER] 204,1000,1450.99,1632.00,4.93,0.00,1605.67,1632.00,2.60,0.00
00:48:45.123 [TUNER] 205,1000,1450.99,1640.00,4.93,0.00,1605.67,1640.00,2.60,0.00
00:48:45.165 [TUNER] 206,1000,1495.81,1648.00,4.73,0.00,1545.68,1648.00,3.73,0.00
00:48:45.166 [TUNER] 207,1000,1495.81,1656.00,4.73,0.00,1545.68,1656.00,3.73,0.00
00:48:45.167 [TUNER] 208,1000,1617.58,1664.00,3.48,0.00,1478.79,1664.00,5.03,0.00
00:48:45.208 [TUNER] 209,1000,1617.58,1672.00,3.48,0.00,1478.79,1672.00,5.03,0.00
00:48:45.209 [TUNER] 210,1000,1739.04,1680.00,2.14,0.00,1475.10,1680.00,5.50,0.00
00:48:45.249 [TUNER] 211,1000,1739.04,1688.00,2.14,0.00,1475.10,1688.00,5.50,0.00
00:48:45.250 [TUNER] 212,1002,1691.14,1696.00,2.95,0.00,1490.27,1696.00,5.73,0.00
00:48:45.293 [TUNER] 213,998,1691.14,1704.00,2.95,0.00,1490.27,1704.00,5.73,0.00
00:48:45.293 [TUNER] 214,1000,1581.99,1712.00,4.63,0.00,1543.58,1712.00,5.41,0.00
00:48:45.334 [TUNER] 215,1000,1581.99,1720.00,4.63,0.00,1543.58,1720.00,5.41,0.00
