04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:04.442 [TUNER] 182,1000,1612.32,1639.64,3.77,0.00,1677.41,1639.64,3.00,0.00
04:12:04.442 [TUNER] 183,1000,1612.32,1648.65,3.77,0.00,1677.41,1648.65,3.00,0.00
04:12:04.476 [TUNER] 184,1000,1627.19,1657.66,3.85,0.00,1692.64,1657.66,3.02,0.00
04:12:04.476 [TUNER] 185,1000,1627.19,1666.67,3.85,0.00,1692.64,1666.67,3.02,0.00
04:12:04.511 [TUNER] 186,1000,1644.87,1675.68,3.90,0.00,1702.05,1675.68,3.13,0.00
04:12:04.549 [TUNER] 187,1000,1644.87,1684.68,3.90,0.00,1702.05,1684.68,3.13,0.00
04:12:04.549 [TUNER] 188,1000,1684.83,1693.69,3.66,0.00,1683.04,1693.69,3.66,0.00
04:12:04.583 [TUNER] 189,1000,1684.83,1702.70,3.66,0.00,1683.04,1702.70,3.66,0.00
04:12:04.583 [TUNER] 190,1000,1735.40,1711.71,3.25,0.00,1671.94,1711.71,4.10,0.00
04:12:04.618 [TUNER] 191,1000,1735.40,1720.72,3.25,0.00,1671.94,1720.72,4.10,0.00
04:12:04.619 [TUNER] 192,1000,1766.31,1729.73,3.08,0.00,1683.42,1729.73,4.25,0.00
04:12:04.652 [TUNER] 193,1000,1766.31,1738.74,3.08,0.00,1683.42,1738.74,4.25,0.00
04:12:04.687 [TUNER] 194,1000,1794.13,1747.75,2.93,0.00,1679.15,1747.75,4.63,0.00
04:12:04.690 [TUNER] 195,1000,1794.13,1756.76,2.93,0.00,1679.15,1756.76,4.63,0.00
04:12:04.722 [TUNER] 196,1000,1792.53,1765.77,3.17,0.00,1723.42,1765.77,4.34,0.00
04:12:04.724 [TUNER] 197,1000,1792.53,1774.77,3.17,0.00,1723.42,1774.77,4.34,0.00
04:12:04.757 [TUNER] 198,1000,1796.25,1783.78,3.35,0.00,1748.65,1783.78,4.29,0.00
04:12:04.759 [TUNER] 199,1000,1796.25,1792.79,3.35,0.00,1748.65,1792.79,4.29,0.00
04:12:04.792 [TUNER] 200,1000,1802.18,1801.80,3.52,0.00,1823.76,1801.80,3.53,0.00
04:12:04.827 [TUNER] 201,1000,1802.18,1810.81,3.52,0.00,1823.76,1810.81,3.53,0.00
04:12:04.827 [TUNER] 202,1000,1822.11,1819.82,3.51,0.00,1863.88,1819.82,3.21,0.00
04:12:04.863 [TUNER] 203,1000,1822.11,1828.83,3.51,0.00,1863.88,1828.83,3.21,0.00
04:12:04.863 [TUNER] 204,1000,1846.93,1837.84,3.44,0.00,1923.17,1837.84,2.59,0.00
04:12:04.896 [TUNER] 205,1000,1846.93,1846.85,3.44,0.00,1923.17,1846.85,2.59,0.00
04:12:04.897 [TUNER] 206,1000,1925.10,1855.86,2.65,0.00,1955.06,1855.86,2.33,0.00
04:12:04.934 [TUNER] 207,1000,1925.10,1864.86,2.65,0.00,1955.06,1864.86,2.33,0.00
04:12:04.968 [TUNER] 208,1000,1970.54,1873.87,2.25,0.00,1967.44,1873.87,2.33,0.00
