00:06:54.936 [TUNER] --- CSV START ---
00:06:54.937 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:10.47029 I:327.93915 D:0.00000),PID_1(P:11.35157 I:352.46927 D:0.00000)
00:06:54.938 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:06:59.433 [TUNER] 224,1000,1735.46,1814.90,4.21,0.00,1747.52,1814.90,4.27,0.00
00:06:59.467 [TUNER] 225,1000,1735.46,1821.00,4.21,0.00,1747.52,1821.00,4.27,0.00
00:06:59.503 [TUNER] 226,1000,1797.26,1827.00,3.72,0.00,1743.35,1827.00,4.53,0.00
00:06:59.503 [TUNER] 227,1000,1797.26,1832.90,3.72,0.00,1743.35,1832.90,4.53,0.00
00:06:59.538 [TUNER] 228,1000,1875.92,1838.70,3.01,0.00,1764.06,1838.70,4.49,0.00
00:06:59.538 [TUNER] 229,1000,1875.92,1844.40,3.01,0.00,1764.06,1844.40,4.49,0.00
00:06:59.574 [TUNER] 230,1000,1954.30,1850.00,2.25,0.00,1820.15,1850.00,4.01,0.00
00:06:59.574 [TUNER] 231,1000,1954.30,1855.50,2.25,0.00,1820.15,1855.50,4.01,0.00
00:06:59.608 [TUNER] 232,1000,2006.70,1860.90,1.73,0.00,1877.04,1860.90,3.49,0.00
00:06:59.642 [TUNER] 233,1000,2006.70,1866.20,1.73,0.00,1877.04,1866.20,3.49,0.00
00:06:59.643 [TUNER] 234,1000,2036.59,1871.40,1.43,0.00,1963.79,1871.40,2.57,0.00
00:06:59.682 [TUNER] 235,1000,2036.59,1876.50,1.43,0.00,1963.79,1876.50,2.57,0.00
00:06:59.684 [TUNER] 236,1000,1981.48,1881.50,2.06,0.00,2034.91,1881.50,1.78,0.00
00:06:59.716 [TUNER] 237,1000,1981.48,1886.40,2.06,0.00,2034.91,1886.40,1.78,0.00
00:06:59.718 [TUNER] 238,1000,1920.20,1891.20,2.79,0.00,2086.65,1891.20,1.17,0.00
