22:33:24.926 [MCH] --- CSV START ---
22:33:24.926 [MCH] Metadata,Voltage:0.5V,Duration:1000ms
22:33:24.926 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:36:29.316 [MCH] 39,10000,2.544,2.380
22:36:29.358 [MCH] 40,10000,2.562,2.403
22:36:29.359 [MCH] 41,10000,2.563,2.410
22:36:29.402 [MCH] 42,10000,2.590,2.437
22:36:29.402 [MCH] 43,10000,2.631,2.461
22:36:29.442 [MCH] 44,10000,2.633,2.476
22:36:29.443 [MCH] 45,10000,2.628,2.489
22:36:29.486 [MCH] 46,10000,2.668,2.542
22:36:29.487 [MCH] 47,10000,2.705,2.566
22:36:29.530 [MCH] 48,10000,2.698,2.555
22:36:29.530 [MCH] 49,10000,2.721,2.588
22:36:29.571 [MCH] 50,10000,2.736,2.615
22:36:29.572 [MCH] 51,10000,2.716,2.605
22:36:29.612 [MCH] 52,10000,2.737,2.623
22:36:29.612 [MCH] 53,10000,2.732,2.662
22:36:29.657 [MCH] 54,10000,2.733,2.649
22:36:29.658 [MCH] 55,10000,2.736,2.647
22:36:29.659 [MCH] 56,10000,2.747,2.679
22:36:29.698 [MCH] 57,10000,2.769,2.685
22:36:29.699 [MCH] 58,10000,2.761,2.679
22:36:29.742 [MCH] 59,10000,2.774,2.710
22:36:29.743 [MCH] 60,10000,2.792,2.705
22:36:29.782 [MCH] 61,10000,2.784,2.692
22:36:29.783 [MCH] 62,10000,2.802,2.711
22:36:29.824 [MCH] 63,10000,2.809,2.716
22:36:29.825 [MCH] 64,10000,2.787,2.711
22:36:29.868 [MCH] 65,10000,2.788,2.724
22:36:29.869 [MCH] 66,10000,2.822,2.725
22:36:29.909 [MCH] 67,10000,2.808,2.716
22:36:29.909 [MCH] 68,10000,2.827,2.728
22:36:29.954 [MCH] 69,10000,2.840,2.767
22:36:29.956 [MCH] 70,10000,2.834,2.748
22:36:29.995 [MCH] 71,10014,2.829,2.758
22:36:29.995 [MCH] 72,9998,2.858,2.756
22:36:29.995 [MCH] 73,9988,2.829,2.742
22:36:30.036 [MCH] 74,10000,2.849,2.757
22:36:30.036 [MCH] 75,10000,2.861,2.788
22:36:30.082 [MCH] 76,10000,2.847,2.764
22:36:30.082 [MCH] 77,10000,2.858,2.781
22:36:30.166 [MCH] 78,10000,2.893,2.798
22:36:30.166 [MCH] 79,10000,2.874,2.780
22:36:30.167 [MCH] 80,10000,2.873,2.786
22:36:30.167 [MCH] 81,10000,2.884,2.810
22:36:30.209 [MCH] 82,10015,2.875,2.795
22:36:30.210 [MCH] 83,9999,2.880,2.802
22:36:30.293 [MCH] 84,9987,2.892,2.823
22:36:30.293 [MCH] 85,10002,2.896,2.824
22:36:30.293 [MCH] 86,10011,2.883,2.827
22:36:30.294 [MCH] 87,9987,2.890,2.843
22:36:30.338 [MCH] 88,10000,2.889,2.823
22:36:30.341 [MCH] 89,10002,2.894,2.820
22:36:30.341 [MCH] 90,10011,2.883,2.841
22:36:30.379 [MCH] 91,9987,2.887,2.842
22:36:30.380 [MCH] 92,10000,2.891,2.836
22:36:30.421 [MCH] 93,10002,2.908,2.847
22:36:30.421 [MCH] 94,10011,2.901,2.839
22:36:30.461 [MCH] 95,9987,2.899,2.827
22:36:30.461 [MCH] 96,10000,2.902,2.840
22:36:30.506 [MCH] 97,10000,2.914,2.869
22:36:30.506 [MCH] 98,10002,2.920,2.853
22:36:30.548 [MCH] 99,10011,2.920,2.838
